date,close,volume,open,high,low,symbol
2022-06-09,76.58,19630720,84.63,84.96,76.49,SQ
2022-06-08,84.75,12757330,84.6,87.55,83.87,SQ
2022-06-07,84.6,14313260,81.88,85.2,80.25,SQ
2022-06-06,83.38,13972740,84.86,87.09,81.95,SQ
2022-06-03,83.1,13965950,85.36,86.67,82.66,SQ
2022-06-02,87.44,19120030,81.52,88.8485,81.4,SQ
2022-06-01,81.91,20519250,87.35,89.2109,81.3531,SQ
2022-05-31,87.51,19307160,90.0,90.6,85.8,SQ
2022-05-27,90.52,19837500,84.29,90.99,83.5,SQ
2022-05-26,83.41,16587510,75.57,83.86,74.76,SQ
2022-05-25,77.95,17738160,75.8,78.95,74.31,SQ
2022-05-24,75.88,20583920,81.4,81.62,74.16,SQ
2022-05-23,83.4,19684110,83.82,84.15,79.05,SQ
2022-05-20,83.44,22714330,88.01,90.25,78.8924,SQ
2022-05-19,87.14,24086920,82.9,89.9191,82.085,SQ
2022-05-18,82.06,24811370,82.73,89.0962,81.48,SQ
2022-05-17,84.79,21675560,82.5,85.56,78.88,SQ
2022-05-16,79.7,18879570,82.27,84.69,79.31,SQ
2022-05-13,84.15,28356480,80.37,85.23,80.13,SQ
2022-05-12,75.76,35208120,68.79,78.14,65.1,SQ
2022-05-11,71.22,39549290,82.97,85.1499,70.33,SQ
2022-05-10,84.39,25789590,87.29,91.465,80.39,SQ
2022-05-09,83.86,31319610,93.06,93.9685,80.82,SQ
2022-05-06,96.19,36801940,98.67,98.68,88.5567,SQ
2022-05-05,95.55,22914530,103.51,104.14,93.12,SQ
2022-05-04,106.79,25333850,102.25,107.21,93.65,SQ
2022-05-03,102.33,14675910,104.16,108.0,100.48,SQ
2022-05-02,105.86,14661670,98.3,105.97,97.27,SQ
2022-04-29,99.54,13448820,103.64,110.4398,99.32,SQ
2022-04-28,104.64,16650910,101.54,106.0,97.39,SQ
2022-04-27,99.93,14308630,98.68,103.9682,98.07,SQ
2022-04-26,100.47,12854540,105.643,105.643,99.8254,SQ
2022-04-25,107.38,14059480,101.8701,108.3,101.8701,SQ
2023-04-21,285.76,21562760,285.01,286.27,283.0608,MSFT
2023-04-20,286.11,23244360,285.25,289.03,285.08,MSFT
2023-04-19,288.45,17150270,285.99,289.05,284.54,MSFT
2023-04-18,288.37,20161850,291.57,291.755,287.01,MSFT
2023-04-17,288.8,23836220,289.93,291.6,286.16,MSFT
2023-04-14,286.14,20987920,287.0,288.48,283.69,MSFT
2023-04-13,289.84,24222680,283.59,289.9,283.17,MSFT
2023-04-12,283.49,27403430,284.79,287.01,281.96,MSFT
2023-04-11,282.83,27276590,285.75,285.98,281.64,MSFT
2023-04-10,289.39,23102990,289.208,289.6,284.71,MSFT
2023-04-06,291.6,29770330,283.21,292.08,282.03,MSFT
2023-04-05,284.34,22064770,285.85,287.15,282.92,MSFT
